tamano_matriz=6000; hilos=20; tiempo_microsegundos=100552220
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99185788
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101504225
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100080946
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99696355
tamano_matriz=6000; hilos=20; tiempo_microsegundos=102110656
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101339146
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101323861
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99388289
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99981028
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100176091
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101092139
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99460936
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101459385
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100939778
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100118477
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101794243
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100002240
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100340886
tamano_matriz=6000; hilos=20; tiempo_microsegundos=102792072
tamano_matriz=6000; hilos=20; tiempo_microsegundos=100386188
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99520153
tamano_matriz=6000; hilos=20; tiempo_microsegundos=103007060
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101497779
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101763940
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101911252
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99177202
tamano_matriz=6000; hilos=20; tiempo_microsegundos=102199146
tamano_matriz=6000; hilos=20; tiempo_microsegundos=99405248
tamano_matriz=6000; hilos=20; tiempo_microsegundos=101191368
